t,year,quarter,YQ,ATPI,FuelPrice,FuelConsumption,Passengers,FuelCons_Pass,FuelCost_Pass,CPI
1,1995,1,19951,100,0.462666667,17323,526055483,32.92998659,15.23560713,159.6
2,1995,2,19952,101.87,0.496333333,17323,526055483,32.92998659,16.34425001,160.8
3,1995,3,19953,102.27,0.492,17323,526055483,32.92998659,16.2015534,161.6
4,1995,4,19954,98.6,0.526333333,17323,526055483,32.92998659,17.33214961,163
5,1996,1,19961,98.36,0.564333333,17845,558183741,31.96975958,18.04160099,164.2
6,1996,2,19962,97.75,0.563333333,17845,558183741,31.96975958,18.00963123,165.1
7,1996,3,19963,99.31,0.617666667,17845,558183741,31.96975958,19.74665483,165.8
8,1996,4,19964,98.19,0.697333333,17845,558183741,31.96975958,22.29357901,167.2
9,1997,1,19971,100.48,0.618666667,18620,568615687,32.74619471,20.25897913,168.3
10,1997,2,19972,101.92,0.537666667,18620,568615687,32.74619471,17.60653735,169.3
11,1997,3,19973,101.93,0.545333333,18620,568615687,32.74619471,17.85759151,169.6
12,1997,4,19974,105.2,0.538666667,18620,568615687,32.74619471,17.63928355,170.8
13,1998,1,19981,101.36,0.446,18218,588335318,30.96533464,13.81053925,172.1
14,1998,2,19982,97.54,0.410333333,18218,588335318,30.96533464,12.70610898,173.1
15,1998,3,19983,97.26,0.392666667,18218,588335318,30.96533464,12.15905473,173.8
16,1998,4,19984,96.18,0.365,18218,588335318,30.96533464,11.30234714,174.8
17,1999,1,19991,98.91,0.340333333,19768,610628716,32.37319091,11.01767597,175.7
18,1999,2,19992,98.67,0.428333333,19768,610628716,32.37319091,13.86651677,176.6
19,1999,3,19993,98.36,0.563333333,19768,610628716,32.37319091,18.23689755,177.1
20,1999,4,19994,98.82,0.652333333,19768,610628716,32.37319091,21.11811154,178.4
21,2000,1,20001,102.51,0.777333333,19027,639753899,29.74112394,23.11876701,179.5
22,2000,2,20002,104.57,0.755333333,19027,639753899,29.74112394,22.46446228,180.9
23,2000,3,20003,106.39,0.904333333,19027,639753899,29.74112394,26.89588975,181.7
24,2000,4,20004,107.3,0.957666667,19027,639753899,29.74112394,28.48208302,183
25,2001,1,20011,111.83,0.811,18068,595364778,30.34778117,24.61205053,184.4
26,2001,2,20012,107.37,0.786,18068,595364778,30.34778117,23.853356,185.5
27,2001,3,20013,103.49,0.737666667,18068,595364778,30.34778117,22.38654658,186.6
28,2001,4,20014,99.13,0.56,18068,595364778,30.34778117,16.99475746,188.1
29,2002,1,20021,103.82,0.571333333,16859,575058533,29.31701563,16.74978826,189.2
30,2002,2,20022,102.55,0.662666667,16859,575058533,29.31701563,19.42740902,190.2
31,2002,3,20023,101.23,0.737666667,16859,575058533,29.31701563,21.6261852,191
32,2002,4,20024,101.14,0.769666667,16859,575058533,29.31701563,22.5643297,191.8
33,2003,1,20031,104.13,0.945,16868,593132200,28.43885394,26.87471697,192.5
34,2003,2,20032,102.48,0.735,16868,593132200,28.43885394,20.90255764,193.2
35,2003,3,20033,103.28,0.780333333,16868,593132200,28.43885394,22.19178569,193.5
36,2003,4,20034,103.43,0.842333333,16868,593132200,28.43885394,23.95499463,193.9
37,2004,1,20041,105.33,0.959333333,18145,652413250,27.81212675,26.68110026,194.9
38,2004,2,20042,103.6,1.032333333,18145,652413250,27.81212675,28.71138551,196.5
39,2004,3,20043,101.47,1.244666667,18145,652413250,27.81212675,34.61682709,196.8
40,2004,4,20044,100,1.363333333,18145,652413250,27.81212675,37.91719946,198.1
41,2005,1,20051,101.84,1.41,18324,690135672,26.55130106,37.4373345,199.5
42,2005,2,20052,105.77,1.566,18324,690135672,26.55130106,41.57933746,200.8
43,2005,3,20053,107.68,1.923666667,18324,690135672,26.55130106,51.07585281,201
44,2005,4,20054,108.25,1.941,18324,690135672,26.55130106,51.53607536,202.3
45,2006,1,20061,110.8,1.815,18239,690765508,26.40403985,47.92333233,203.6
46,2006,2,20062,116.53,2.075,18239,690765508,26.40403985,54.78838269,205.7
47,2006,3,20063,115.04,2.032333333,18239,690765508,26.40403985,53.66181032,206.7
48,2006,4,20064,110.72,1.760666667,18239,690765508,26.40403985,46.48871283,207.6
49,2007,1,20071,111.23,1.746666667,18427,726419176,25.36689643,44.30751243,209.112
50,2007,2,20072,114.42,2.059666667,18427,726419176,25.36689643,52.24735101,210.316
51,2007,3,20073,116.49,2.164666667,18427,726419176,25.36689643,54.91087513,211.111
52,2007,4,20074,115.4,2.548666667,18427,726419176,25.36689643,64.65176336,212.435
53,2008,1,20081,118.2,2.819,17978,690249540,26.045653,73.4226958,213.866
54,2008,2,20082,123.02,3.660333333,17978,690249540,26.045653,95.33577185,215.18
55,2008,3,20083,128.76,3.510666667,17978,690249540,26.045653,91.43760579,216.476
56,2008,4,20084,123.2,1.856666667,17978,690249540,26.045653,48.35809573,216.69
57,2009,1,20091,112.98,1.332,16234,656995166,24.70946643,32.91300929,217.685
58,2009,2,20092,108.97,1.554,16234,656995166,24.70946643,38.39851083,219.128
59,2009,3,20093,113.38,1.782,16234,656995166,24.70946643,44.03226918,219.596
60,2009,4,20094,112.58,1.969,16234,656995166,24.70946643,48.6529394,220.384
61,2010,1,20101,114.97,2.049666667,16304,670370501,24.32087924,49.84969548,220.602
62,2010,2,20102,119.01,2.121333333,16304,670370501,24.32087924,51.59269183,221.193
63,2010,3,20103,120.24,2.072,16304,670370501,24.32087924,50.39286178,221.551
64,2010,4,20104,119.38,2.341333333,16304,670370501,24.32087924,56.94328526,222.077
65,2011,1,20111,124.43,2.861,16349,681353394,23.99489038,68.64938138,223.011
